,key_value,label,ontology_mapping
0,"{'cell line': 'Nalm6', 'construct': 'TEL-AML1', 'replicate': '2', 'source_name': 'Nalm6 pre-B-ALL cell line with inducible TEL-AML1 construct', 'time': '24 h'}",cell_line,"['CVCL:0092', 'EFO:0000322', 'EFO:0002245', 'EFO:0000220', 'CL:0000010']"
1,"{'BioSampleModel': 'Generic', 'cell line': 'U2OS cell line', 'source_name': 'U2OS cell line', 'treatment': 'miR-155 transfection'}",cell_line,"['EFO:0000637', 'DOID:3347', 'UBERON:0003100', 'UBERON:0002481', 'EFO:0000322', 'EFO:0000727', 'EFO:0002869', 'UBERON:0001474', 'CVCL:0042', 'DOID:4', 'EFO:0003156', 'EFO:0000408', 'EFO:0000298', 'EFO:0000726', 'CL:0000010']"
2,"{'cell line': 'HEK293', 'source_name': 'siPAP nuclear fraction replicate #1'}",cell_line,"['CVCL:0045', 'EFO:0000322', 'UBERON:0002113', 'EFO:0001182', 'CL:0000010']"
3,"{'BioSampleModel': 'Generic', 'cell type': 'Basal Cell Carcinoma, nodular', 'source_name': 'Nodular basal cell carcinoma'}",tissue,"['DOID:2513', 'DOID:4280', 'EFO:0006858', 'EFO:0004198', 'EFO:0000311', 'EFO:0000616', 'EFO:0004193', 'EFO:0000313', 'DOID:305', 'EFO:0000408', 'DOID:14566']"
4,"{'cell type': 'sorted CD4- ILC1', 'cohort': 'Control; healthy control subject', 'gender': 'male', 'source_name': 'sorted CD4- ILC1', 'tissue': 'Peripheral blood'}",primary_cells,"['UBERON:0003101', 'UBERON:0000178']"
5,"{'BioSampleModel': 'Generic', 'diagnosis': 'non-ischemic cardiomyopathy', 'lvad support': 'pre-LVAD', 'source_name': 'human left ventricle apex tissue', 'tissue': 'left ventricle apex tissue'}",tissue,"['UBERON:0002082', 'EFO:0001425', 'UBERON:0002084']"
6,"{'BIOMATERIAL_PROVIDER': 'Shin Lin, Stanford University', 'BIOMATERIAL_TYPE': 'Primary Tissue', 'BioSampleModel': 'Generic', 'COLLECTION_METHOD': 'Autopsy', 'DISEASE': 'None', 'DONOR_AGE': '34', 'DONOR_ETHNICITY': 'Caucasian', 'DONOR_HEALTH_STATUS': 'polysubstance abuse (NO diabetes, hypertension, coronary artery disease, cancer)', 'DONOR_ID': 'STL003', 'DONOR_SEX': 'Male', 'MOLECULE': 'genomic DNA', 'TISSUE_DEPOT': 'N/A', 'TISSUE_TYPE': 'Adrenal Gland', 'sample_term_id': 'UBERON_0002369'}",tissue,"['DOID:9351', 'UBERON:0003101', 'EFO:0000319', 'EFO:0001645', 'UBERON:0002530', 'EFO:0004264', 'EFO:0000616', 'EFO:0000311', 'EFO:0000537', 'EFO:0000378', 'EFO:0003156', 'DOID:3393', 'EFO:0000589', 'EFO:1000639', 'DOID:162', 'UBERON:0002369', 'DOID:10763', 'DOID:14566', 'EFO:0000400', 'EFO:0000408']"
7,"{'age': '110 day', 'blood type': 'A+', 'cell line': 'embryonic stem cell line WA09 (H9) NIH registry #0062.', 'growth condition': 'Organoid culture', 'karyotype': '46, XX', 'organism': 'Homo sapiens', 'sex': 'female'}",in_vitro_differentiated_cells,"['UBERON:0003100', 'EFO:0003045', 'EFO:0000322', 'CVCL:9773', 'CL:0000034', 'CL:0002322', 'CL:0000010']"
8,"{'BioSampleModel': 'Generic', 'cell line': 'MDA-MB-231', 'rep': '4', 'source_name': 'MDA-MB-231', 'time-point': '2'}",cell_line,"['CVCL:0062', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0000228', 'EFO:0000322', 'DOID:299', 'DOID:4', 'EFO:0003156', 'UBERON:0007023', 'EFO:0000408', 'EFO:0001209', 'CL:0000010', 'EFO:0001272']"
9,"{'BioSampleModel': 'Generic', 'diagnosis': 'Normal (no amyloid)', 'disease group': 'control', 'source_name': 'control_cerebral cortex', 'tissue': 'temporal neocortex gray matter'}",tissue,"['UBERON:0016538', 'EFO:0003534', 'UBERON:0002020', 'UBERON:0000956']"
